questao,gabarito,enunciado,alternativas,enem_ano
1,B,Disponível em https://mir-s3.cf.behance.net. Acesso em: 29 out. 2021 (adaptado). Esse cartaz de campanha sugere que ,"['os lixões precisam de ampliação. ', 'o desperdício degrada o ambiente. ', 'os mercados doam alimentos perecíveis. ', 'a desnutrição compromete o raciocínio. ', 'as residências carecem de refrigeradores. ']",2023
2,B,"No man is an island, Entire of itself; Every man is a piece of the continent, A part of the main. [...] Any man’s death diminishes me, Because I am involved in mankind. DONNE, J. The Works of John Donne . Londres John W. Parker, 1839 (fragmento) Nesse poema, a expressão “No man is an island” ressalta o( ","['medo da morte. ', 'ideia do conexão. ', 'conceito de solidão. ', 'risco de devastação. ', 'necessidade do empatia. ']",2023
3,D,"Things We Carry on the Sea We carry tears in our eyes: good-bye father, good-bye [mother We carry soil in small bags: may home never fade in our [hearts We carry carnage of mining, droughts, floods, genocides We carry dust of our families and neighbors incinerated [in mushroom clouds We carry our islands sinking under the sea We carry our hands, feet, bones, hearts and best minds [for a new life We carry diplomas: medicine, engineer, nurse, [education, math, poetry, even if they mean [nothing to the other shore We carry railroads, plantations, laundromats, [bodegas, taco trucks, farms, factories, nursing [homes, hospitals, schools, temples... built on [our ancestors’ backs We carry old homes along the spine, new dreams in our [chests We carry yesterday, today and tomorrow We’re orphans of the wars forced upon us We’re refugees of the sea rising from industrial wastes And we carry our mother tongues [...] As we drift... in our rubber boats...from shore...to shore... [to shore... PING. W Disponível em: https://poets.org. Acesso em: 1 jun. 2023 (fragmento). Ao retratar a trajetória de refugiados, o poema recorre a imagem de viagem marítima para destacar o( ","['risco de choques culturais. ', 'impacto do ensino de história. ', 'importância da luta ambiental. ', 'existéncia de experiências plurais. ', 'necessidade de capacitação profissional. ']",2023
4,A,"Spanglish pues estoy creando Spanglish bi-cultural systems scientific lexicographical inter-textual integrations two expressions existentially wired two dominant languages continentally abrazándose in colloquial combate imperio spanglish emerges sobre territorio bi-lingual las novelas mexicanas mixing with radiorocknroll immigrant/migrant nasal mispronouncements hip-hop, street salsa, spanish pop standard english classroom with computer technicalities spanglish is literally perfect LA VIERA. T. Benedictión : The Complete Poetry of Tato Laviera Houston: Arte Público Press, 2014 (fragmento). Nesse poema de Tato Laviera, o eu lirico destaca uma ","['convergência linguístico-cultural. ', 'característica histórico-cultural. ', 'tendência estilístico-literária. ', 'discriminação cultural. ', 'censura musical. ']",2023
5,B,"Disponível em: www.cartoonstock.com. Acesso em: 25 out. 2021. Ao retratar o ambiente de trabalho em um escritório escritório, esse cartum tem por objetivo ","['criticar um padrão de vestimenta. ', 'destacar a falta de diversidade. ', 'indicar um modo de interação. ', 'elogiar um modelo de organização. ', 'salientar o espírito de cooperação. ']",2023
3,E,"“Caramelos” en sus suelos Las tierras de España, tu vista enamoran; sus gentes; te amistan; ¿“cocinas”?, ¡“te molan”! ¿El plato común?, ¡pues «tortilla/patatas»!; en bares, figones, o tascas, ¡las «tapas»!; “sabor nacional”, ¡el «gazpacho», sus «vinos», «sangría», y «jamón» de sabrosos cochinos! (Cual “sellos”, te grabas sus «Típicos Platos»; ¡sabrás por dó pasas, por sólo tu olfato!, ¡si en cada lugar, un sabor peculiar, “al paso” cautiva tu buen paladar!). ¡Son más que “recetas”!, será “alegoría”!, ¡será “identidad”! (¡hay “reserva” en su «Guía»!); son platos allende un “timón conductor”, ¡son mar, ríos, sierras!, ¡son valles, son flor!, ¡y aportan “Conventos” a gastronomia, sus «dulces»! (sabor “celestial”, ¡de ambrosia!). QUIROZ Y LÓPEZ M. Disponível em: https://pt.calameo.com. Acesso em: 25 out. 2021. Nesse poema, o eu poético enaltece a ","['característica amistosa do povo espanhol. ', 'beleza das paisagens naturais da Espanha. ', 'variedade de pratos na gastronomia espanhola. ', 'relação entre os sentidos do paladar e do olfato na gastronomia. ', 'gastronomia como representação da identidade cultural de um povo. ']",2023
4,B,"Técnicas de manipulación y el resultado Manipular es sembrar en la conciencia y en la mente de la gente ideas, actitudes, conceptos y aspiraciones — incluso falsas e inmorales — que sirvan a los objetivos de sus manipuladores. Manipular es una de las primeras cosas que aprendemos en la vida. A muy temprana edad, los bebés descubren el poder del llanto, el berrinche, los pataleos, a risa o alguna “gracia” como recursos para demandar atención, exigir comida, pedir ayuda o simplemente mantener ocupada a la gente. Nuestras actitudes de adultos reflejan o mucho o poco que algunos maduraron, procesaron y rebasaron ese periodo. Para que exista un manipulador, debe haber una base de cudadanos indefensos, dóciles, desinformados. El manipulador es celoso, a veces casi paranoico; no admite cuestionamientos ni quiere que nadie ocupe su espacio, sabe que su vigencia depende de presencia controladora. Todos los días, hay que marcar la línea de discurso, incidir en el debate. El ridículo vale la pena si con ello se logra una cortina de humo. Disponível em: www.forbes.com.mx. Acesso em: 7 out. 2021. (adaptado). Nesse texto, a expressão “cortina de humo” revela que o manipulador ","['amadurece tardiamente. ', 'busca mascarar a verdade. ', 'rejeita questionamentos alheios. ', 'aproxima-se de pessoas indefesas. ', 'faz-se presente de forma controladora. ']",2023
5,A,"Que quede claro Cómo es posible que se cierren tantas bocas, tantos ojos, tantas puertas, muchas mentes ante un acto xenofóbico sin precedentes. Presidentes, ministros, cancilleres, autoridades, responsables. ¿Quién pagará el daño causado a familiares? Por un loco del estrada sin modales. [...] Se alejó de aquel lugar donde su color era mucho más que su color, era su raza. Persiguiendo un sueño que desapareció, que se fusionó y terminó en una pesadilla. [...] Déjame que te cuente esta historia que sucedió en el metro de Barcelona, cuando aquella mañana la injusticia y xenofobia se juntaron de la mano, protagonizando una de las más feas escenas de racismo. En aquel vagón viajaba un ángel de color diferente, en su camino se interpuso aquel inconsciente, que aún sabiendo lo que hacía, seguía hablando con su gente. Le dio al ángel dos patadas en su cara, se rió de ella sin cambiar la mirada. Y aún anda suelto, aún anda suelto... ORISHAS. In: Cosita buena . Delaware: Suerte Publishing LCC, 2008 (fragmento). A letra da canção Que quede claro , da banda cubana Orishas, revela o( ","['indignação diante do desrespeito à diversidade. ', 'violência característica das grandes metrópoles. ', 'preconceito da sociedade com relação ao misticismo. ', 'descuido da população com os sonhos dos imigrantes ', 'falta de segurança existente no transporte público urbano. ']",2023
6,D,"A sessão do Comitê Olímpico Internacional (COI) aprovou uma mudança histórica e inédita no lema olímpico, criado em 1894 pelo Barão Pierre de Coubertin para expressar os valores e a excelência do esporte. Mais de 120 anos depois, o lema tem sua primeira alteração para ressaltar a solidariedade e incluir a palavra ""juntos"": mais rápido, mais alto, mais forte – juntos. A mudança foi aprovada por unanimidade pelos membros do COI e celebrada pelo presidente da entidade. Disponível em: https://ge.globo.com. Acesso em: 10 nov. 2021 (adaptado). De acordo com o texto, a alteração do lema olímpico teve como objetivo a ","['unificação do lema anterior ao atual. ', 'aproximação entre o lema olímpico e o COl. ', 'junção do lema olímpico com os princípios esportivos. ', 'associação entre o lema olímpico e a cooperatividade. ', 'vinculação entre o lema olímpico e os eventos atléticos. ']",2023
7,A,"Mais iluminada que outras Tenho dois seios, estas duas coxas, duas mãos que me são muito úteis, olhos escuros, estas duas sobrancelhas que preencho com maquiagem comprada por dezenove e noventa e orelhas que não aceitam bijuterias. Este corpo é um corpo faminto, dentado, cruel, capaz e violento. Movo os braços e multidões correm desesperadas. Caminho no escuro com o rosto para baixo, pois cada parte isolada de mim tem sua própria vida e não quero domá-las. Animal da caatinga. Forte demais. Engolidora de espadas e espinhos. Dizem e eu ouvi, mas depois também li, que o estado do Ceará aboliu a escravidão quatro anos antes do restante do país. Todos aqueles corpos que eram trazidos com seus dedos contados, seus calcanhares prontos e seus umbigos em fogo, todos eles foram interrompidos no porto. Um homem – dizem e eu ouvi e depois também li – liderou o levante. E todos esses corpos foram buscar outros incômodos. Foram ser incomodados. ARRAES, J. Redemoinho em dia quente . São Paulo: Alfaguara, 2019. Nesse texto, os recursos expressivos usados pela narradora ","['revelam as marcas da violência de raça e de gênero na construção da identidade. ', 'questionam o pioneirismo do estado do Ceará no enfrentamento à escravidão. ', 'reproduzem padrões estéticos em busca da valorização da autoestima feminina. ', 'sugerem uma atmosfera onírica alinhada ao desejo de resgate da espiritualidade. ', 'mimetizam, na paisagem, os corpos transformados pela violência da escravidão. ']",2023
