questao,gabarito,enunciado,alternativas,enem_ano
1,C,"Becoming Back in the ancestral homeland of Michelle Obama, black women were rarely granted the honorific Miss or Mrs.,but were addressed by their first name, or simply as gal”or “auntie” or worse. This so openly demeaned them thatmany black women, long after they had left the South,refused to answer if called by their first name. A motherand father in 1970s Texas named their newborn “Miss” sothat white people would have no choice but to addresstheir daughter by that title. Black women were meant forthe field or the kitchen, or for use as they saw fit. Theywere, by definition, not ladies. The very idea of a blackwoman as first lady of the land, well, that would havebeen unthinkable. Disponível em: mwv.nytimes.com. Acesso em: 28 dez. 2018 (adaptado). A crítica do livro de memórias de Michelle Obama, ex- primeira-dama dos EUA, aborda a história das relaçõeshumanas na cidade natal da autora. Nesse contexto, o usodo vocábulo “unthinkable” ressalta que ","['a ascensão social era improvável.', 'a mudança de nome era impensável.', 'a origem do individuo era irrelevante.', 'o trabalho feminino era inimaginável.', 'o comportamento parental era irresponsável. ']",2021
2,A,SIPRESS. Disponível em: www.newyorker.com. Acesso em 12 Jun. 2018. A presença de “at odds with” na fala da personagem do cartum revela o(a) ,"['necessidade de acessar informações confiáveis.', 'dificuldade de conciliar diferentes anseios.', 'desejo de dominar novas tecnologias.', 'desafio de permanecer imparcial.', 'vontade de ler notícias positivas. ']",2021
3,A,"Exterior: Between The Museums — Day CELINE Americans always think Europe is perfect. But such beauty and history can be really oppressive. It reduces theindividual to nothing. It just reminds you all the time youare just a little speck in a long history, where in Americayou feel like you could be making history. That’s why Ilike Los Angeles because it is so... JESSEUgly?CELINENo, I was going to say “neutral”. It’s like looking at a blank canvas. I think people go to places like Venice ontheir honeymoon to make sure they are not going to fightfor the first two weeks of their marriage because they’llbe too busy looking around at all the beautiful things.That’s what people call a romantic place — somewherewhere the prettiness will contain your primary violentinstinct. A real good honeymoon spot would be likesomewhere in New Jersey. KRIZAN. K.; LINKLATER, R. Belore Sunrise : screenplay. New York: Vintage Books 2005. Considerando-se o olhar dos personagens, esse trecho do roteiro de um filme permite reconhecer que a avaliaçãosobre um lugar depende do(a) ","['beleza do próprio local.', 'perspectiva do visitante.', 'contexto histórico do local.', 'tempo de permanência no local.', 'finalidade da viagem do visitante. ']",2021
4,B,"We are now a nation obsessed with the cult of celebrity. Celebrities have replaced the classic notion of the hero.But instead of being respected for talent, courage orintelligence, it is money, style and image the decidingfactors in what commands respect. Image is everything.Their image is painstakingly constructed by a multitudeof different image consultants to carve out the mostprofitable celebrity they can. Then society is right behindthem, believing in everything that celebrity believes in.Companies know that people will buy a product if acelebrity has it too. It is as if the person buying theproduct feels that they now have some kind of connectionwith the celebrity and that some of their perceivedhappiness will now be passed onto the consumer. So tolook at it one way, the cult of celebrity is really nothingmore than a sophisticated marketing scheme. Celebritiesthough cannot be blamed for all negative aspects ofsociety. In reality society is to blame. We are the peoplewho seemed to have lost the ability to think for ourselves.I suppose it’s easier to be told what to think, rather thanchallenging what we are told. The reason we areswamped by celebrity is because there is a demand for it. Disponível em: www.pitlanemagazine.com. Acesso em 7 dez 2017 (adaptado). O texto, que aborda questões referentes ao tema do culto à celebridade, tem o objetivo de ","['destacar os méritos das celebridades.', 'criticar o consumismo das celebridades.', 'ressaltar a necessidade de reflexão dos fãs.', 'culpar as celebridades pela obsessão dos fãs.', 'valorizar o marketing pessoal das celebridades. ']",2021
5,B,"The British (serves 60 mililon) Take some Picts, Celts and Silures And let them settle,Then overrun them with Roman conquerors.Remove the Romans after approximateiy 400 yearsAdd lots of Norman French to someAngles, Saxons, Jutes and Vikings, then stir vigorously. [...]Sprinkle some fresh Indians, Malaysians, Bosnians,Iraqis and Bangladeshis together with someAfghans, Spanish, Turkish, Kurdish, JapaneseAnd PalestiniansThen add to the melting pot.Leave the ingredients to simmer.As they mix and blend allow their languages to flourishBinding them together with English.Allow time to be cool.Add some unity, understanding, and respect for the future,Serve with justiceAnd enjoy. Note: All the ingredients are equally important. Treating one ingredient better than another will leave a bitterunpleasant taste. Warning: An unequal spread of justice will damage the people and cause pain. Give justice and equality to all. Disponível em: www.benjaminzephanish com. Acesso em: 12 dez. 2018 (fragmento). Ao descrever o processo de formação da Inglaterra, o autor do poema recorre a caracteristicas de outro gênerotextual para evidenciar ","['a riqueza da mistura cultural.', 'um legado de origem geográfica.', 'um impacto de natureza histórica.', 'um problema de estratificação social.', 'a questão da intolerância linguística. EENNEEMM -- 11..OODDIIAA-- NNOOVVEEMMBBRROO//22002211']",2021
1,C,"Hoy, en cuestión de segundos uno es capaz de conocer la vida de un individuo o las actividades que lleva a cabo sin necesidad de contacto personal; las RRSS tienen lapoderosa virtud de convocar concentraciones de gentescon idearios comunes y generar movimientos como laPrimavera Árabe, por ejemplo. Bajo ese parámetro, cualquier incidente puede ser inmediatamente reportado por grabación o filmación, porlo que a los aparatos celulares, más allá de su utilidad entérminos de conversación, habría que calificarlos como“la guillotina del siglo XXI”. Asi es. Son éstos los que han pasado a convertirse en artefactos con cuyo uso se han develado conversaciones,acuerdos, negociados, chantajes y un sin fim de hechosque han dado curso a procesos de naturaleza legal einvestigativa que han tumbado gobiernos, empresas,empresarios, políticos y que, incluso, ha servido en uncaso reciente, para que un inocente recupere su libertadtras cuatro años de injusto encierro. Disponível em: https://elpotosi.net. Acesso em: 24 jun 2021 O texto trata da evolução inerente às funcionalidades derecursos tecnológicos. A expressão ‘la guillotina del sigloXXI” destaca que os celulares de hoje podem ","['oferecer recursos com funções múltiplas.', 'reunir usuários com ideias semelhantes.', 'divulgar informação instantânea.', 'organizar movimentos sociais.', 'assumir utilidade jurídica. ']",2021
2,A,"En el suelo, apoyado en el mostrador, se acurrucaba, inmóvil como una cosa, un hombre muy viejo. Losmuchos años lo habian reducido y pulido como las aguasa una piedra o las generaciones de los hombres a unasentencia. Era oscuro, chico y reseco, y estaba como fueradel tiempo, en una eternidad. BORGES, J. L. Artificios . Madri: Alianza Cien, 1995. No âmbito literário, são mobilizados diferentes recursos que visam à expressividade. No texto, a analogiaestabelecida pela expressão “como las aguas a unapiedra” tem a função de ","['enfatizar a ação do tempo sobre a personagem.', 'descrever a objetificação do ambiente.', 'expor a anacronia da personagem.', 'caracterizar o espaço do conto.', 'narrar a perenidade da velhice. ']",2021
3,E,ERLICH. Disponível em: https://mansunides.org. Acesso em 5 dez. 2018. A charge evoca uma situação de assombro frente a uma realidade que assola as sociedades contemporâneas. Seuefeito humorístico reside na crítica diante do(a) ,"['O constatação do ser humano como o responsável pela condição caótica do mundo. ', 'apelo à religiosidade diante das dificuldades enfrentadas pela humanidade. ', 'indignação dos trabalhadores em face das injustiças sociais. ', 'veiculação de informações trágicas pelos telejornais.', 'manipulação das noticias difundidas pelas mídias. ']",2021
4,A,"Se reunieron en un volumen todas las entrevistas dadas por el poeta y dramaturgo Federico Garcia Lorca. Lorcaconcedió 133 entrevistas; leyéndolas se sabrá qué estabapor detrás de la poética del escritor andaluz. Sobre su obradeclaró en una de ellas: “No he sido nunca poeta deminoría. He tratado de poner en mis poemas lo de todoslos tiempos, lo permanente, lo humano. A mí me ataca lohumano, es el elemento fundamental en toda obra dearte”. Y en otra dijo: “Hoy no interesa más que unaproblemática: lo social. La obra que no siga esa direcciónestá condenada al fracaso, aunque sea muy buena”. En suúltima entrevista, de junio de 1936, Lorca se muestraprofético: “Ni el poeta ni nadie tiene la clave y el secretodel mundo. Quiero ser bueno. Sé que la poesía eleva ycreo firmemente que si hay un más allá tendré laagradable sorpresa de encontrarme con él. Pero el dolordel hombre y la injusticia constante que mana del mundo,y mi propio cuerpo y mi propio pensamiento, me evitantrasladar mi casa a las estrellas”. AYÉN, X Retrato del poeta como “muchachón gitanazo ”. Disponível em: www.clarin.com. Acesso em: 8 dez 2017 (adaptado). Esse trecho da resenha de um livro de entrevistas concedidas por Federico Garcia Lorca tem por finalidade ","['ressaltar a atração do entrevistado por questões místicas. ', 'divulgar a comoção das elites com as obras do entrevistado. ', 'salientar o compromisso do entrevistado com as questões sociais, ', 'mostrar a atualidade das obras poéticas e teatrais do entrevistado. ', 'criticar o interesse do entrevistado por particularidades da vida humana. ']",2021
5,A,"Amuleto Lo único cierto es que llegué a México en 1965 y me planté en casa de León Felipe y en casa de Pedro Garfiasy les dije aquí estoy para lo que gusten mandar. Y les debíde caer simpática, porque antipática no soy, aunque aveces soy pesada, pero antipática nunca. Y lo primero quehice fue coger una escoba y ponerme a barrer el suelo desus casas y luego a limpiar las ventanas y cada vez quepodía les pedía dinero y les hacía compra. Y ellos medecían con ese tono español tan peculiar, esa musiquilladistinta que no los abandonó nunca, como si encircularanlas zetas y las ces y como si dejaran a las eses máshuérfanas y libidinosas que nunca, Auxilio, me decían,deja ya de trasegar por el piso, Auxilio, deja esos papelestranquilos, mujer, que ei polvo siempre se ha avenido conla literatura. BOLAÑO, R. A. Tres novelas. Barcelona: Círculo de Lectores. 2003. No fragmento do romance, a uruguaia Auxilio narra a experiência que viveu no México ao trabalharvoluntariamente para dois escritores espanhóis. Com basena relação com os escritores, ela reflete sobre a(s) ","['variação linguística do espanhol.', 'sujeira dos livros de literatura.', 'distintas maneiras de acolher do mexicano.', 'orientações sobre a limpeza das casas dos espanhóis.', 'dificuldades de comunicação entre patrão e empregada. ']",2021
6,B,"D’SALETE, M. Cumbe . São Paulo: Veneta. 2016, p. 10-11 (adaptado). A sequência dos quadrinhos conjuga lirismo e violência ao ","['sugerir a impossibilidade de manutenção dos afetos.', 'revelar os corpos marcados pela brutalidade colonial. ', 'representar o abatimento diante da desumanidade vivida. ', 'acentuar a resistência identitária dos povos escra - vizados. ', 'expor os sujeitos alijados de sua ancestralidade pelo exílio. ']",2021
7,D,"Naquele tempo, ltaguaí, que, como as demais vilas, arraiais e povoações da colônia, não dispunha de im -prensa, tinha dois modos de divulgar uma notícia; ou pormeio de cartazes manuscritos e pregados na porta daCâmara, e da matriz; — ou por meio de matraca. Eis em que consistia este segundo uso. Contratava-se um homem, por um ou mais dias, para andar as ruas dopovoado, com uma matraca na mão. De quando emquando tocava a matraca, reunia-se gente, e ele anunciavao que lhe incumbiam, — um remédio para sezões, umasterras lavradias, um soneto, um donativo eclesiástico, amelhor tesoura da vila, o mais belo discurso do ano, etc.O sistema tinha inconvenientes para a paz pública; masera conservado pela grande energia de divulgação quepossuía. Por exemplo, um dos vereadores desfrutava areputação de perfeito educador de cobras e macacos, ealiás nunca domesticara um só desses bichos; mas tinhao cuidado de fazer trabalhar a matraca todos os meses. Edizem as crônicas que algumas pessoas afirmavam tervisto cascavéis dançando no peito do vereador; afirmaçãoperfeitamente falsa, mas só devida à absoluta confiançano sistema. Verdade, verdade, nem todas as instituiçõesdo antigo regímen mereciam o desprezo do nosso século. ASSIS, M. O alienista . Disponível em: www.dominiopublico.gov.br. Acesso em: 2 jun. 2019 (adaptado). O fragmento faz uma referência irônica a formas de divul - gação e circulação de informações em uma localidadesem imprensa. Ao destacar a confiança da população nosistema da matraca, o narrador associa esse recurso àdisseminação de ","['campanhas políticas.', 'anúncios publicitários.', 'notícias de apelo popular.', 'informações não fidedignas.', 'serviços de utilidade pública. ']",2021
8,C,"No ano em que o maior clarinetista que o Brasil conheceu, Abel Ferreira, faria 100 anos, o choro dámostras de vivacidade. É quase um paradoxo que essariquíssima manifestação da genuína alma brasileira sejaforte o suficiente para driblar a falta de incentivos oficiais,a insensibilidade dos meios de comunicação e a amnésiageneralizada. “Ele trazia a alma brasileira derramada emsua sonoridade ímpar. Artur da Távola, seguramente seumaior admirador, foi quem melhor o definiu, ‘almasertaneja, toque mozarteano’”. O acervo do músicoautodi data nascido na mineira Coromandel, autor de 50músicas, entre as quais Chorando baixinho (1942), que o consagrou, amigo e parceiro de Pixinguinha, com quemgravou Ingênuo (1958), permanece com os herdeiros à espera de compilação adequada. O Museu da Imagem edo Som do Rio de Janeiro tem a guarda do sax e doclarinete, doados em 1995. Na avaliação de Leonor Bianchi, editora da Revista do Choro , “a música instrumental fica apartada do que é popular porque não vai à sala de concerto. O público emgeral tem interesse em samba, pagode e axé”. Ela atribuiessa situação à falta de conhecimento e à pouca divul -gação do gênero nas escolas. FERRAZ, A. Disponível em: www.cartacapital.com.br. Acesso em: 22 abr. 2015 (adaptado). Considerando-se o contexto, o gênero e o público-alvo, os argumentos trazidos pela autora do texto buscam ","['atribuir o desconhecimento da obra de Abel Ferreira ao ensino de música nas escolas. ', 'reivindicar mais investimentos estatais para a pre - servação do acervo musical nacional. ', 'destacar a relevância histórica e a riqueza estética do choro no cenário musical brasileiro. ', 'apresentar ao leitor dados biográficos pouco conhe - cidos sobre a trajetória de Abel Ferreira. ', 'constatar a impopularidade do choro diante da preferência do público por músicas populares. ']",2021
9,D,"Falso moralista V ocê condena o que a moçada anda fazendoe não aceita o teatro de revistaarte moderna pra você não vale nadae até vedete você diz não ser artista V ocê se julga um tanto bom e até perfeito Por qualquer coisa deita logo falaçãoMas eu conheço bem o seu defeitoe não vou fazer segredo não V ocê é visto toda sexta no Joá e não é só no Carnaval que vai pros bailes se acabarFim de semana você deixa a companheirae no bar com os amigos bebe bem a noite inteira Segunda-feira chega na repartição pede dispensa para ir ao oculistae vai curar sua ressaca simplesmenteV ocê não passa de um falso moralista NELSON SARGENTO. Sonho de um sambista . São Paulo: Eldorado, 1979. As letras de samba normalmente se caracterizam por apre sentarem marcas informais do uso da língua. Nessaletra de Nelson Sargento, são exemplos dessas marcas ","['“falação” e “pros bailes”.', '“você” e “teatro de revista”.', '“perfeito” e “Carnaval”.', '“bebe bem” e “oculista”.', '“curar” e “falso moralista” ']",2021
